user_id,ut_id,suburb,state,postcode,employment_type,active,modified_time,comments,app_version,device_os,device_os_version,app_timezone,last_logged_in
964,2,,,,1,1,,,,,,,
965,2,,,,1,1,,,,,,,
966,2,,,,1,1,,,,,,,
967,2,,,,1,1,,,,,,,
968,2,,,,1,1,,,,,,,
969,2,,,,1,1,,,,,,,
970,2,,,,9,1,2020-11-27 05:20:02,,,,,,
971,2,,,,1,1,,,,,,,
972,2,,,,1,1,,,,,,,
973,2,,,,1,1,,,,,,,
974,2,,,,1,1,,,,,,,
975,2,,,"",1,1,2020-09-09 06:30:08,,,,,,
976,2,,,,1,1,,,,,,,
977,2,,,,1,1,,,,,,,
978,2,,,,1,1,,,,,,,
979,2,,,,1,1,,,,,,,
980,2,,,,1,1,,,,,,,
981,2,,,,1,1,,,,,,,
982,2,,,,1,1,,,,,,,
983,2,,,,1,1,,,,,,,
984,2,,,,1,1,,,,,,,
985,2,,,"",1,1,2020-09-09 06:29:58,,,,,,
986,2,,,,1,1,,,,,,,
987,2,,,,1,1,,,,,,,
988,3,,,,8,0,2019-06-24 05:35:48,,,,,,2019-04-03 05:15:20
989,2,,,,1,1,,,,,,,
990,2,,,,1,1,,,,,,,
991,2,,,,1,1,,,,,,,
992,2,,,,1,1,,,,,,,
993,2,,,,1,1,,,,,,,
994,2,,,,1,1,,,,,,,
995,2,,,,1,1,,,,,,,
996,2,,,,1,1,,,,,,,
997,2,,,,1,1,,,,,,,
998,2,,,,1,1,,,,,,,
999,2,,,,1,1,,,,,,,
1000,2,,,,1,1,,,,,,,
1001,2,,,,1,1,,,,,,,
1002,2,,,,1,1,,,,,,,
1003,2,,,,1,1,,,,,,,
1004,2,,,,1,1,,,,,,,
1005,2,,,,1,1,,,,,,,
1006,2,,,,1,1,,,,,,,
1008,2,,,,3,0,2019-06-05 01:08:27,,4.1.1,web,Chrome 73,-660,2019-03-29 04:15:19
1009,3,,,,1,1,,,,,,,2020-10-06 22:44:08
1010,2,,,,1,0,2020-08-10 00:21:36,,5.23.2,web,Chrome 85,-660,2020-10-08 07:04:45
1011,3,,,,8,1,,,,,,,
1012,3,,,,8,0,2019-06-24 05:36:35,,,,,,
1013,3,,,,8,0,2019-06-24 05:35:59,,,,,,
1014,3,,,,1,0,2019-06-05 01:08:03,,,,,,2019-04-08 07:16:11
1015,3,Cremorne,NSW,2090,1,0,2020-03-29 23:58:12,,,,,,2020-05-08 04:26:58
1016,3,,,,1,1,,,,,,,2021-04-30 01:41:41
1018,3,,,,1,1,2020-04-21 01:58:52,,,,,,2019-07-22 12:05:32
1019,2,,,,6,1,2021-02-05 00:11:28,,,,,,
1021,3,,,,3,1,2020-04-26 23:34:42,,,,,,2020-04-26 23:34:53
1022,2,,,"",3,1,2020-06-19 01:58:09,,5.30.3,web,Chrome 87,-660,2021-01-19 22:44:03
1023,3,,,,1,1,,,,,,,2019-06-06 11:01:44
1024,2,,,,1,1,2020-04-29 02:03:10,,5.9.5,web,Safari 13,-600,2020-04-29 03:51:58
1025,3,,,,1,1,,,,,,,2020-02-12 18:46:27
1027,2,Denver,CO,80204,1,1,2019-10-17 20:22:54,,4.7.4,iOS,12.4.1,360,2019-10-17 20:23:48
1031,3,North Sydney,,,1,1,2020-01-17 03:23:36,,,,,,2021-05-03 00:26:57
1033,2,Sydney,NSW,2113,1,1,2021-03-01 03:57:13,,5.37.1,web,Netscape 5.0 (iPhone; CPU iPho,-600,2021-05-03 00:27:53
1034,3,,,,1,0,2019-06-05 01:07:15,,,,,,2019-05-31 00:18:15
1035,4,,,,1,0,2019-06-05 01:07:04,,,,,,2019-06-03 02:50:03
1037,3,,,,1,1,2019-05-29 07:24:21,,,,,,
1038,2,,,,1,1,2019-05-29 07:24:44,,,,,,
1041,2,,,,1,1,2019-05-29 07:26:25,,,,,,
1045,3,,,,1,1,2019-05-29 07:31:01,,,,,,
1046,2,,,,1,1,2019-05-29 07:31:08,,,,,,
1048,3,,,,1,1,2019-05-29 07:31:41,,,,,,
1050,2,,,,1,1,2019-05-29 07:32:04,,,,,,
1052,2,,,,1,1,2019-09-15 23:54:07,,5.19.0,web,Netscape 5.0 (iPhone; CPU iPho,-600,2020-09-08 00:47:57
1053,3,Croydon,NSW,2132,5,0,,,,,,,
1056,2,,,"",4,1,2020-11-05 23:36:05,,,,,,
1057,3,Forest Lodge,NSW,2037,3,0,,,,,,,
1058,2,,,"",4,1,2020-02-21 05:20:38,,,,,,
1059,2,Crows Nest,NSW,2065,6,1,,,,,,,
1060,3,Croydon,NSW,2132,9,1,,,,,,,
1061,3,Croydon,NSW,2132,9,1,2019-07-17 05:21:30,,,,,,
1062,2,,,,,1,2020-03-24 21:57:04,,,,,,
1065,2,,,,1,1,2019-08-14 00:46:02,,4.3.1,web,Chrome 75,360,2019-07-10 15:56:20
1066,3,Croydon,NSW,2132,5,1,,,,,,,
1067,3,,NSW,,1,1,2021-03-20 16:46:53,,,,,,2021-04-07 08:58:11
1068,3,Croydon,NSW,2132,5,1,,,,,,,
1069,2,,NSW,1213,4,1,,,,,,,
1070,3,Ringwood North,VIC,3134,1,1,,,,,,,2020-01-23 22:20:34
1071,2,Ringwood North,VIC,3134,1,1,,,5.5.10,web,Chrome 79,-660,2020-01-21 00:09:00
1072,2,Kirribilli,New South Wales,2061,1,1,2020-11-13 07:06:46,,5.37.1,web,Netscape 5.0 (iPhone; CPU iPho,-600,2021-04-28 12:04:21
1073,3,,,,1,1,2021-01-10 23:17:10,,,,,,2021-04-27 03:35:25
1074,2,,,,1,1,,,5.22.0,web,Chrome 85,-600,2020-09-25 06:00:11
1076,2,,,,1,1,2020-09-15 06:54:04,,,,,,
1077,3,,,,1,1,,,,,,,
1078,2,,,,1,1,,,,,,,
1081,2,,,,1,0,2020-04-23 00:13:58,,5.29.0,web,Chrome 4,-660,2021-01-07 00:02:24
1082,2,Forest Lodge,NSW,2037,1,1,2019-07-25 01:57:12,,,,,,
1083,2,Forest Lodge,NSW,2037,5,1,,,,,,,
1086,2,,,,4,1,,,,,,,
1087,2,,,,8,1,,,,,,,
1088,3,,,,8,1,,,,,,,
1089,2,Dawes Point,New South Wales,2000,1,1,2021-01-18 04:28:24,,5.26.0,web,Chrome 86,-660,2020-11-06 05:06:59
1090,2,,,,1,1,,,,,,,
1108,3,,,,,1,2019-08-12 04:51:26,,,,,,
1109,3,,,,,1,2020-02-07 05:09:06,,,,,,
1110,3,,,,,0,2019-08-13 00:59:19,,,,,,2019-08-13 00:59:22
1111,3,,,,,0,2019-08-13 01:08:15,,,,,,2019-08-13 01:08:19
1112,3,,,,,0,2019-08-13 02:48:11,,,,,,2019-08-13 02:48:14
1113,3,,,,,0,2019-08-13 04:58:13,,,,,,2019-08-13 04:58:16
1114,2,,,,1,1,,,5.11.3,web,Chrome 83,-600,2020-06-02 01:18:47
1115,2,,,,1,1,,,5.11.3,web,Chrome 83,-600,2020-06-02 01:19:00
1116,2,,,,,1,2019-08-13 06:13:10,,4.4.8,web,Chrome 76,-600,2019-08-13 06:14:03
1117,3,,,,,0,2019-08-13 06:16:33,,,,,,2019-08-13 06:17:04
1118,3,,,,,0,2019-08-13 06:38:01,,,,,,2019-08-13 06:38:05
1119,3,,,,,0,2019-08-13 23:07:31,,,,,,2019-08-13 23:07:36
1120,3,,,,,0,2019-08-13 23:07:45,,,,,,2019-08-13 23:07:48
1121,3,,,,1,1,2019-08-13 23:09:23,,,,,,
1122,3,,,,,0,2019-08-13 23:11:14,,,,,,2019-08-13 23:11:17
1123,3,,,,,0,2019-08-13 23:13:44,,,,,,2019-08-13 23:13:47
1124,3,,,,,0,2019-08-13 23:14:13,,,,,,
1125,3,,,,,0,2019-08-14 03:02:34,,,,,,2019-08-14 03:02:38
1126,3,,,,,0,2019-08-14 03:07:11,,,,,,2019-08-14 03:07:13
1127,3,,,,,0,2019-08-14 04:13:18,,,,,,2019-08-14 04:13:23
1128,2,,,,,1,2019-08-14 05:49:29,,4.3.0,,,,2019-08-14 05:49:33
1130,3,,,,,0,2019-08-15 00:27:42,,,,,,2019-08-15 00:27:46
1131,3,,,,,0,2019-08-15 00:57:33,,,,,,2019-08-15 00:57:36
1132,2,,,,,1,2019-08-15 02:49:12,,4.3.0,,,,2019-08-15 02:49:15
1133,3,,,,,0,2019-08-15 02:49:43,,,,,,2019-08-15 02:49:47
1134,2,,,,,1,2019-08-15 02:50:55,,4.3.0,,,,2019-08-15 02:50:58
1135,3,,,,,0,2019-08-15 03:02:26,,,,,,2019-08-15 03:02:53
